2021-11-26 21:08:33,614 - 
=============================================================================================================================
batch_size                                        : 64                            
device                                            : cuda                          
eval_quali_crsp_n_grids                           : 10                            
eval_quali_rec_n                                  : 1000                          
freq_step_chkpt                                   : 100000                        
freq_step_eval_quali                              : 500                           
freq_step_log                                     : 100                           
gpu_ids                                           : 0                             
lambda_2latent_om                                 : 1000.0                        
lambda_2latent_recon                              : 1000.0                        
lambda_2latent_unif                               : 10.0                          
lambda_2sector_om                                 : 1.0                           
lambda_2sector_recon                              : 1.0                           
lambda_2sector_unif                               : 10.0                          
learning_rate                                     : 0.0001                        
load_from                                         : -1                            
rand_seed                                         : 1678                          
steps                                             : 100000                        
=============================================================================================================================
2021-11-26 21:08:33,615 - Network[F] total number of parameters: 1.053 M. 
2021-11-26 21:08:33,616 - Network[Enc] total number of parameters: 1.055 M. 
2021-11-26 21:08:33,616 - Network[LogDet] total number of parameters: 0.000 M. 
2021-11-26 21:10:05,739 - epoch[0  ], batch[-1 ], step[5799], iter[-1 ] ---> loss_2sector_recon:  0.0011; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1222; loss_2latent_recon:  0.0085; loss_2latent_om:  0.0002; loss_2latent_unif:  0.1641; t_io:  0.0000; t_opt:  1.5018; 
2021-11-26 21:10:07,299 - epoch[0  ], batch[-1 ], step[5899], iter[-1 ] ---> loss_2sector_recon:  0.0017; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1108; loss_2latent_recon:  0.0066; loss_2latent_om:  0.0001; loss_2latent_unif:  0.1483; t_io:  0.0000; t_opt:  1.5473; 
2021-11-26 21:10:08,856 - epoch[0  ], batch[-1 ], step[5999], iter[-1 ] ---> loss_2sector_recon:  0.0005; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1652; loss_2latent_recon:  0.0078; loss_2latent_om:  0.0002; loss_2latent_unif:  0.2130; t_io:  0.0000; t_opt:  1.5498; 
2021-11-26 21:10:10,864 - epoch[0  ], batch[-1 ], step[6099], iter[-1 ] ---> loss_2sector_recon:  0.0003; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1505; loss_2latent_recon:  0.0063; loss_2latent_om:  0.0002; loss_2latent_unif:  0.1654; t_io:  0.0000; t_opt:  1.4822; 
2021-11-26 21:10:12,421 - epoch[0  ], batch[-1 ], step[6199], iter[-1 ] ---> loss_2sector_recon:  0.0004; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1382; loss_2latent_recon:  0.0064; loss_2latent_om:  0.0001; loss_2latent_unif:  0.1388; t_io:  0.0000; t_opt:  1.5519; 
2021-11-26 21:10:13,992 - epoch[0  ], batch[-1 ], step[6299], iter[-1 ] ---> loss_2sector_recon:  0.0007; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1414; loss_2latent_recon:  0.0048; loss_2latent_om:  0.0003; loss_2latent_unif:  0.1695; t_io:  0.0000; t_opt:  1.5627; 
2021-11-26 21:10:15,490 - epoch[0  ], batch[-1 ], step[6399], iter[-1 ] ---> loss_2sector_recon:  0.0004; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1902; loss_2latent_recon:  0.0048; loss_2latent_om:  0.0003; loss_2latent_unif:  0.1615; t_io:  0.0000; t_opt:  1.4870; 
2021-11-26 21:10:16,988 - epoch[0  ], batch[-1 ], step[6499], iter[-1 ] ---> loss_2sector_recon:  0.0003; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1420; loss_2latent_recon:  0.0034; loss_2latent_om:  0.0009; loss_2latent_unif:  0.1598; t_io:  0.0000; t_opt:  1.4890; 
2021-11-26 21:10:18,898 - epoch[0  ], batch[-1 ], step[6599], iter[-1 ] ---> loss_2sector_recon:  0.0004; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1346; loss_2latent_recon:  0.0034; loss_2latent_om:  0.0001; loss_2latent_unif:  0.1251; t_io:  0.0000; t_opt:  1.4491; 
2021-11-26 21:10:20,393 - epoch[0  ], batch[-1 ], step[6699], iter[-1 ] ---> loss_2sector_recon:  0.0004; loss_2sector_om:  0.0000; loss_2sector_unif:  0.1482; loss_2latent_recon:  0.0060; loss_2latent_om:  0.0001; loss_2latent_unif:  0.1476; t_io:  0.0000; t_opt:  1.4807; 
